job_id,job_title,company_name,salary_year_avg,job_id (1),skill_id,skill_id (1),skills,type
552322,Associate Director- Data Insights,AT&T,255829.5,552322,0,0,sql,programming
552322,Associate Director- Data Insights,AT&T,255829.5,552322,1,1,python,programming
552322,Associate Director- Data Insights,AT&T,255829.5,552322,5,5,r,programming
552322,Associate Director- Data Insights,AT&T,255829.5,552322,74,74,azure,cloud
552322,Associate Director- Data Insights,AT&T,255829.5,552322,75,75,databricks,cloud
552322,Associate Director- Data Insights,AT&T,255829.5,552322,76,76,aws,cloud
552322,Associate Director- Data Insights,AT&T,255829.5,552322,93,93,pandas,libraries
552322,Associate Director- Data Insights,AT&T,255829.5,552322,95,95,pyspark,libraries
552322,Associate Director- Data Insights,AT&T,255829.5,552322,102,102,jupyter,libraries
552322,Associate Director- Data Insights,AT&T,255829.5,552322,181,181,excel,analyst_tools
552322,Associate Director- Data Insights,AT&T,255829.5,552322,182,182,tableau,analyst_tools
552322,Associate Director- Data Insights,AT&T,255829.5,552322,183,183,power bi,analyst_tools
552322,Associate Director- Data Insights,AT&T,255829.5,552322,196,196,powerpoint,analyst_tools
99305,"Data Analyst, Marketing",Pinterest Job Advertisements,232423,99305,0,0,sql,programming
99305,"Data Analyst, Marketing",Pinterest Job Advertisements,232423,99305,1,1,python,programming
99305,"Data Analyst, Marketing",Pinterest Job Advertisements,232423,99305,5,5,r,programming
99305,"Data Analyst, Marketing",Pinterest Job Advertisements,232423,99305,97,97,hadoop,libraries
99305,"Data Analyst, Marketing",Pinterest Job Advertisements,232423,99305,182,182,tableau,analyst_tools
1021647,Data Analyst (Hybrid/Remote),Uclahealthcareers,217000,1021647,0,0,sql,programming
1021647,Data Analyst (Hybrid/Remote),Uclahealthcareers,217000,1021647,23,23,crystal,programming
1021647,Data Analyst (Hybrid/Remote),Uclahealthcareers,217000,1021647,79,79,oracle,cloud
1021647,Data Analyst (Hybrid/Remote),Uclahealthcareers,217000,1021647,182,182,tableau,analyst_tools
